model,f1,precision,recall,roc_auc,pr_auc
RandomForest no duration,0.43716625133499465,0.35065676756139347,0.5803402646502835,0.7916708890370533,0.444225028881691
LogisticRegression no duration,0.3727659574468085,0.26631536278881235,0.6209829867674859,0.7650787160332005,0.4034685981518127
DummyClassifier,0.0,0.0,0.0,0.5,0.11700951117009512
