model,threshold,f1,precision,recall,roc_auc,pr_auc,best_params,cv_pr_auc
HistGradientBoosting,0.5,0.31834403997144894,0.6501457725947521,0.2107750472589792,0.7960754921942184,0.450786223904914,"{'classifier__learning_rate': 0.03, 'classifier__max_iter': 220, 'classifier__max_leaf_nodes': 15}",0.42120325522529295
GradientBoosting,0.5,0.32331902718168815,0.6647058823529411,0.21361058601134217,0.7931234633728705,0.4444562000801183,"{'classifier__learning_rate': 0.07, 'classifier__max_depth': 3, 'classifier__n_estimators': 180}",0.4168510407126332
RandomForest,0.5,0.45578231292517013,0.3797229219143577,0.5699432892249527,0.7936783301953625,0.44285405444933723,"{'classifier__max_depth': 14, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 350}",0.4153308519691616
VotingEnsemble,0.5,0.4720987654320988,0.49431230610134436,0.45179584120982985,0.7913418992995442,0.4407116688677136,soft voting: LogisticRegression + RandomForest + GradientBoosting,
ExtraTrees,0.5,0.427956276912885,0.3294237633860275,0.610586011342155,0.7870370940368449,0.4277485956644045,"{'classifier__max_depth': 14, 'classifier__min_samples_leaf': 8, 'classifier__n_estimators': 350}",0.4032839009863669
LogisticRegression,0.5,0.37729454956227054,0.2690293999194523,0.6313799621928167,0.7681286486015508,0.40777183993306565,"{'classifier__C': 0.1, 'classifier__solver': 'liblinear'}",0.39098387012767466
DummyClassifier,0.5,0.0,0.0,0.0,0.5,0.11700951117009512,{},
