model,threshold,f1,precision,recall
HistGradientBoosting,0.49,0.32842105263157895,0.6376021798365122,0.22117202268431002
HistGradientBoosting,0.5,0.31834403997144894,0.6501457725947521,0.2107750472589792
HistGradientBoosting,0.51,0.3118201595358956,0.6697819314641744,0.20321361058601134
HistGradientBoosting,0.52,0.2958057395143488,0.6677740863787376,0.1899810964083176
HistGradientBoosting,0.53,0.2893175074183976,0.6724137931034483,0.1843100189035917
HistGradientBoosting,0.54,0.28335832083958024,0.6847826086956522,0.1786389413988658
HistGradientBoosting,0.55,0.2772727272727273,0.6984732824427481,0.17296786389413987
HistGradientBoosting,0.56,0.2715484363081617,0.7035573122529645,0.16824196597353497
HistGradientBoosting,0.57,0.26594926979246736,0.7119341563786008,0.16351606805293006
HistGradientBoosting,0.58,0.2589147286821705,0.7198275862068966,0.15784499054820417
HistGradientBoosting,0.59,0.24588880187940487,0.7168949771689498,0.14839319470699433
HistGradientBoosting,0.6,0.23436262866191607,0.7219512195121951,0.13988657844990549
HistGradientBoosting,0.61,0.22541966426858515,0.7305699481865285,0.1332703213610586
HistGradientBoosting,0.62,0.21486268174474962,0.7388888888888889,0.12570888468809074
HistGradientBoosting,0.63,0.21103896103896105,0.7471264367816092,0.12287334593572778
HistGradientBoosting,0.64,0.20424836601307192,0.7530120481927711,0.11814744801512288
HistGradientBoosting,0.65,0.18889809444904723,0.7651006711409396,0.10775047258979206
HistGradientBoosting,0.66,0.17267393126571667,0.762962962962963,0.09735349716446125
HistGradientBoosting,0.67,0.1628498727735369,0.7933884297520661,0.09073724007561437
HistGradientBoosting,0.68,0.14751286449399656,0.7962962962962963,0.08128544423440454
HistGradientBoosting,0.69,0.12706701479547433,0.8021978021978022,0.06899810964083176
HistGradientBoosting,0.7,0.11091549295774647,0.8076923076923077,0.05954631379962193
HistGradientBoosting,0.71,0.08936550491510277,0.819672131147541,0.04725897920604915
HistGradientBoosting,0.72,0.07407407407407407,0.8367346938775511,0.038752362948960305
HistGradientBoosting,0.73,0.058287795992714025,0.8,0.030245746691871456
HistGradientBoosting,0.74,0.04411764705882353,0.8,0.022684310018903593
HistGradientBoosting,0.75,0.03148148148148148,0.7727272727272727,0.01606805293005671
HistGradientBoosting,0.76,0.01865671641791045,0.7142857142857143,0.00945179584120983
HistGradientBoosting,0.77,0.014953271028037386,0.6666666666666666,0.007561436672967864
HistGradientBoosting,0.78,0.011235955056179775,0.6,0.005671077504725898
HistGradientBoosting,0.79,0.005644402634054563,0.6,0.002835538752362949
HistGradientBoosting,0.8,0.005655042412818097,1.0,0.002835538752362949
HistGradientBoosting,0.81,0.0,0.0,0.0
HistGradientBoosting,0.82,0.0,0.0,0.0
HistGradientBoosting,0.83,0.0,0.0,0.0
HistGradientBoosting,0.84,0.0,0.0,0.0
HistGradientBoosting,0.85,0.0,0.0,0.0
HistGradientBoosting,0.86,0.0,0.0,0.0
HistGradientBoosting,0.87,0.0,0.0,0.0
HistGradientBoosting,0.88,0.0,0.0,0.0
HistGradientBoosting,0.89,0.0,0.0,0.0
HistGradientBoosting,0.9,0.0,0.0,0.0
HistGradientBoosting,0.91,0.0,0.0,0.0
HistGradientBoosting,0.92,0.0,0.0,0.0
HistGradientBoosting,0.93,0.0,0.0,0.0
HistGradientBoosting,0.94,0.0,0.0,0.0
HistGradientBoosting,0.95,0.0,0.0,0.0
